JAR Health Check Report
=======================

Duplicate Classes
-----------------
Duplicate classes, shadowed classes, and duplicate resources.

Class/Resource                                           | Sources                           | Similarity
org.w3c.dom.DOMError                                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMErrorHandler                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMException                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMImplementation                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMImplementationList                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMImplementationSource                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMLocator                                   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMStringList                                | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Document                                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DocumentFragment                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DocumentType                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Element                                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Entity                                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.EntityReference                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.NameList                                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.NamedNodeMap                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Node                                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.NodeList                                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Notation                                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ProcessingInstruction                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Text                                         | Runtime                           | Same API
